"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "SCSS", "TypeScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\.env", "Properties", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\package-lock.json", "JSON", 0, 18116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18117
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\assets\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\assets\projects\swpo\snp_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 1, 37
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\assets\projects\yeoljeong\yeoljeong_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 49
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\de\projects.json", "JSON", 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 595
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\de\testimonials.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\en\projects.json", "JSON", 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 595
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\data\en\testimonials.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\public\manifest.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\AppConfig.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\DataAPI.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\ProjectRepository.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\Repository.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\api\TestimonialRepository.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\aboutMe\certificate.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\aboutMe\education.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\aboutMe\languages.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\background\SpikeShapes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 0, 21
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\background\SpikeShapesSmallScreen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 25
