Date : 2024-09-30 11:16:33
Directory : c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react
Total : 293 files,  33119 codes, 507 comments, 1217 blanks, all 34843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     19,770 |          0 |          3 |     19,773 |
| HTML               |          2 |      5,281 |          0 |          2 |      5,283 |
| TypeScript JSX     |         66 |      2,785 |         45 |        215 |      3,045 |
| TypeScript         |        123 |      1,675 |        445 |        341 |      2,461 |
| SCSS               |         60 |      1,633 |         13 |        330 |      1,976 |
| CSS                |          1 |      1,562 |          1 |        305 |      1,868 |
| XML                |         28 |        375 |          3 |         19 |        397 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Properties         |          1 |          9 |          0 |          0 |          9 |
| JavaScript         |          1 |          2 |          0 |          1 |          3 |
| Markdown           |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |        293 |     33,119 |        507 |      1,217 |     34,843 |
| . (Files)                                                                                                                                                       |          5 |     18,199 |          0 |          3 |     18,202 |
| public                                                                                                                                                          |          9 |      1,330 |          1 |          4 |      1,335 |
| public (Files)                                                                                                                                                  |          2 |         26 |          0 |          2 |         28 |
| public\assets                                                                                                                                                   |          3 |         98 |          1 |          2 |        101 |
| public\assets (Files)                                                                                                                                           |          1 |         14 |          0 |          1 |         15 |
| public\assets\projects                                                                                                                                          |          2 |         84 |          1 |          1 |         86 |
| public\assets\projects\swpo                                                                                                                                     |          1 |         35 |          1 |          1 |         37 |
| public\assets\projects\yeoljeong                                                                                                                                |          1 |         49 |          0 |          0 |         49 |
| public\data                                                                                                                                                     |          4 |      1,206 |          0 |          0 |      1,206 |
| public\data\de                                                                                                                                                  |          2 |        603 |          0 |          0 |        603 |
| public\data\en                                                                                                                                                  |          2 |        603 |          0 |          0 |        603 |
| src                                                                                                                                                             |        279 |     13,590 |        506 |      1,210 |     15,306 |
| src (Files)                                                                                                                                                     |          5 |         96 |          3 |         14 |        113 |
| src\api                                                                                                                                                         |          4 |         38 |          0 |          8 |         46 |
| src\assets                                                                                                                                                      |         25 |        277 |          2 |         17 |        296 |
| src\assets (Files)                                                                                                                                              |          1 |         14 |          0 |          1 |         15 |
| src\assets\aboutMe                                                                                                                                              |          3 |         32 |          0 |          3 |         35 |
| src\assets\background                                                                                                                                           |          2 |         44 |          2 |          0 |         46 |
| src\assets\icons                                                                                                                                                |          7 |         28 |          0 |          1 |         29 |
| src\assets\tasks                                                                                                                                                |         12 |        159 |          0 |         12 |        171 |
| src\components                                                                                                                                                  |         40 |        973 |          1 |        149 |      1,123 |
| src\components\accordion                                                                                                                                        |          5 |        157 |          0 |         24 |        181 |
| src\components\accordion (Files)                                                                                                                                |          2 |         43 |          0 |          7 |         50 |
| src\components\accordion\accordionItem                                                                                                                          |          3 |        114 |          0 |         17 |        131 |
| src\components\button                                                                                                                                           |          3 |         34 |          0 |          6 |         40 |
| src\components\carousel                                                                                                                                         |         11 |        375 |          1 |         53 |        429 |
| src\components\carousel (Files)                                                                                                                                 |          4 |         53 |          0 |         10 |         63 |
| src\components\carousel\carouselContent                                                                                                                         |          4 |        275 |          1 |         35 |        311 |
| src\components\carousel\carouselItem                                                                                                                            |          3 |         47 |          0 |          8 |         55 |
| src\components\detailedEntityIconList                                                                                                                           |          3 |         66 |          0 |          9 |         75 |
| src\components\link                                                                                                                                             |          2 |         24 |          0 |          4 |         28 |
| src\components\loadingSpinner                                                                                                                                   |          3 |         29 |          0 |          7 |         36 |
| src\components\modal                                                                                                                                            |          4 |        101 |          0 |         14 |        115 |
| src\components\quote                                                                                                                                            |          3 |         72 |          0 |         11 |         83 |
| src\components\tabstrip                                                                                                                                         |          6 |        115 |          0 |         21 |        136 |
| src\components\tabstrip (Files)                                                                                                                                 |          3 |         48 |          0 |          9 |         57 |
| src\components\tabstrip\tabstripItem                                                                                                                            |          3 |         67 |          0 |         12 |         79 |
| src\context                                                                                                                                                     |          2 |          8 |          0 |          4 |         12 |
| src\core                                                                                                                                                        |         13 |        442 |        263 |         93 |        798 |
| src\core (Files)                                                                                                                                                |          1 |          4 |          0 |          2 |          6 |
| src\core\errors                                                                                                                                                 |          1 |          1 |          5 |          1 |          7 |
| src\core\services                                                                                                                                               |          5 |        407 |        252 |         84 |        743 |
| src\core\services\date                                                                                                                                          |          5 |        407 |        252 |         84 |        743 |
| src\core\types                                                                                                                                                  |          3 |         21 |          3 |          3 |         27 |
| src\core\utils                                                                                                                                                  |          3 |          9 |          3 |          3 |         15 |
| src\features                                                                                                                                                    |        111 |      3,061 |         34 |        380 |      3,475 |
| src\features\aboutMe                                                                                                                                            |         18 |        250 |         27 |         49 |        326 |
| src\features\aboutMe (Files)                                                                                                                                    |          3 |         31 |          0 |          4 |         35 |
| src\features\aboutMe\aboutMeItem                                                                                                                                |          3 |         44 |          0 |          8 |         52 |
| src\features\aboutMe\certificates                                                                                                                               |          3 |         32 |          0 |          7 |         39 |
| src\features\aboutMe\education                                                                                                                                  |          3 |         54 |          0 |         10 |         64 |
| src\features\aboutMe\languages                                                                                                                                  |          3 |         32 |          0 |          5 |         37 |
| src\features\aboutMe\professionalExperience                                                                                                                     |          3 |         57 |         27 |         15 |         99 |
| src\features\background                                                                                                                                         |          2 |         21 |          0 |          4 |         25 |
| src\features\banner                                                                                                                                             |          2 |        294 |          3 |         54 |        351 |
| src\features\burgerMenu                                                                                                                                         |          3 |         89 |          0 |         10 |         99 |
| src\features\buyMeACoffeeLink                                                                                                                                   |          3 |         28 |          0 |          6 |         34 |
| src\features\footer                                                                                                                                             |          3 |         42 |          0 |          7 |         49 |
| src\features\googlePlay                                                                                                                                         |          3 |         32 |          0 |          5 |         37 |
| src\features\header                                                                                                                                             |          3 |         98 |          1 |         10 |        109 |
| src\features\imprint                                                                                                                                            |          2 |        170 |          0 |          5 |        175 |
| src\features\language                                                                                                                                           |          3 |         54 |          0 |          9 |         63 |
| src\features\pageSection                                                                                                                                        |          3 |         73 |          0 |         11 |         84 |
| src\features\privacyPolicy                                                                                                                                      |          2 |        690 |          0 |          4 |        694 |
| src\features\productButton                                                                                                                                      |          3 |         49 |          1 |          6 |         56 |
| src\features\projects                                                                                                                                           |         36 |        651 |          0 |        107 |        758 |
| src\features\projects\project                                                                                                                                   |          3 |        139 |          0 |         25 |        164 |
| src\features\projects\projectDetails                                                                                                                            |         31 |        470 |          0 |         75 |        545 |
| src\features\projects\projectDetails\challenge                                                                                                                  |          3 |         15 |          0 |          5 |         20 |
| src\features\projects\projectDetails\customer                                                                                                                   |          3 |         59 |          0 |          9 |         68 |
| src\features\projects\projectDetails\myTasks                                                                                                                    |          8 |         94 |          0 |         19 |        113 |
| src\features\projects\projectDetails\myTasks (Files)                                                                                                            |          3 |         28 |          0 |          6 |         34 |
| src\features\projects\projectDetails\myTasks\task                                                                                                               |          5 |         66 |          0 |         13 |         79 |
| src\features\projects\projectDetails\myTasks\task (Files)                                                                                                       |          3 |         37 |          0 |          8 |         45 |
| src\features\projects\projectDetails\myTasks\task\taskIcon                                                                                                      |          2 |         29 |          0 |          5 |         34 |
| src\features\projects\projectDetails\projectDetails                                                                                                             |          3 |        112 |          0 |         12 |        124 |
| src\features\projects\projectDetails\requirements                                                                                                               |          3 |         22 |          0 |          6 |         28 |
| src\features\projects\projectDetails\techStack                                                                                                                  |          8 |        146 |          0 |         18 |        164 |
| src\features\projects\projectDetails\techStack (Files)                                                                                                          |          3 |         39 |          0 |          7 |         46 |
| src\features\projects\projectDetails\techStack\technologyCollection                                                                                             |          3 |         55 |          0 |          6 |         61 |
| src\features\projects\projectDetails\techStack\technologyTypeIcon                                                                                               |          2 |         52 |          0 |          5 |         57 |
| src\features\projects\projectDetails\usage                                                                                                                      |          3 |         22 |          0 |          6 |         28 |
| src\features\projects\projectList                                                                                                                               |          2 |         42 |          0 |          7 |         49 |
| src\features\simplePage                                                                                                                                         |          3 |         43 |          0 |         10 |         53 |
| src\features\skills                                                                                                                                             |         11 |        248 |          1 |         42 |        291 |
| src\features\skills (Files)                                                                                                                                     |          2 |        101 |          0 |         11 |        112 |
| src\features\skills\skillAccordion                                                                                                                              |          3 |         32 |          0 |          7 |         39 |
| src\features\skills\skillCard                                                                                                                                   |          3 |         69 |          1 |         15 |         85 |
| src\features\skills\skillContent                                                                                                                                |          3 |         46 |          0 |          9 |         55 |
| src\features\socialMedia                                                                                                                                        |          3 |         52 |          1 |         10 |         63 |
| src\features\technologies                                                                                                                                       |          3 |         76 |          0 |         14 |         90 |
| src\features\testimonials                                                                                                                                       |          5 |        101 |          0 |         17 |        118 |
| src\features\testimonials (Files)                                                                                                                               |          2 |         45 |          0 |          7 |         52 |
| src\features\testimonials\testimonial                                                                                                                           |          3 |         56 |          0 |         10 |         66 |
| src\hooks                                                                                                                                                       |         24 |        425 |        142 |         73 |        640 |
| src\hooks (Files)                                                                                                                                               |          8 |        239 |          5 |         33 |        277 |
| src\hooks\useLanguage                                                                                                                                           |          3 |         37 |          0 |          7 |         44 |
| src\hooks\useLanguage (Files)                                                                                                                                   |          2 |         33 |          0 |          6 |         39 |
| src\hooks\useLanguage\types                                                                                                                                     |          1 |          4 |          0 |          1 |          5 |
| src\hooks\useTranslation                                                                                                                                        |         13 |        149 |        137 |         33 |        319 |
| src\hooks\useTranslation (Files)                                                                                                                                |          2 |         60 |         79 |         14 |        153 |
| src\hooks\useTranslation\components                                                                                                                             |          3 |         22 |          9 |          7 |         38 |
| src\hooks\useTranslation\types                                                                                                                                  |          2 |          7 |         16 |          3 |         26 |
| src\hooks\useTranslation\utils                                                                                                                                  |          6 |         60 |         33 |          9 |        102 |
| src\i18n                                                                                                                                                        |          4 |        399 |          0 |          3 |        402 |
| src\navItems                                                                                                                                                    |          1 |          9 |          0 |          2 |         11 |
| src\pages                                                                                                                                                       |          4 |        186 |          5 |         18 |        209 |
| src\products                                                                                                                                                    |         13 |      7,082 |          1 |        343 |      7,426 |
| src\products (Files)                                                                                                                                            |          3 |      5,279 |          0 |          3 |      5,282 |
| src\products\model                                                                                                                                              |          2 |         15 |          0 |          3 |         18 |
| src\products\product                                                                                                                                            |          3 |        141 |          0 |         21 |        162 |
| src\products\productList                                                                                                                                        |          3 |         38 |          0 |          7 |         45 |
| src\products\productSection                                                                                                                                     |          1 |         47 |          0 |          4 |         51 |
| src\products\static                                                                                                                                             |          1 |      1,562 |          1 |        305 |      1,868 |
| src\products\static\css                                                                                                                                         |          1 |      1,562 |          1 |        305 |      1,868 |
| src\routes                                                                                                                                                      |         12 |         82 |         45 |         26 |        153 |
| src\routes (Files)                                                                                                                                              |          2 |         20 |          0 |          4 |         24 |
| src\routes\core                                                                                                                                                 |         10 |         62 |         45 |         22 |        129 |
| src\routes\core (Files)                                                                                                                                         |          4 |         35 |         11 |         10 |         56 |
| src\routes\core\types                                                                                                                                           |          6 |         27 |         34 |         12 |         73 |
| src\services                                                                                                                                                    |          3 |        105 |          3 |         10 |        118 |
| src\shared                                                                                                                                                      |          7 |         52 |          0 |         10 |         62 |
| src\shared\model                                                                                                                                                |          7 |         52 |          0 |         10 |         62 |
| src\styles                                                                                                                                                      |          5 |        235 |          7 |         53 |        295 |
| src\types                                                                                                                                                       |          6 |        120 |          0 |          7 |        127 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                        | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\.env                                                                                                 | Properties         |          9 |          0 |          0 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\README.md                                                                                            | Markdown           |          1 |          0 |          0 |          1 |
